Country,CapLat,CapLon,DiviorcedCount,DiviorcedRow N %,NonDiviorcedCount,NonDiviorcedRow N %,LT HIGH SCHOOLCount,LT HIGH SCHOOLRow N %,HIGH SCHOOLCount,HIGH SCHOOLRow N %,JUNIOR COLLEGECount,JUNIOR COLLEGERow N %,BACHELORCount,BACHELORRow N %,GRADUATECount,GRADUATERow N %,LT $1000Count,LT $1000Row N %,$1000 TO 2999Count,$1000 TO 2999Row N %,$3000 TO 3999Count,$3000 TO 3999Row N %,$4000 TO 4999Count,$4000 TO 4999Row N %,$5000 TO 5999Count,$5000 TO 5999Row N %,$6000 TO 6999Count,$6000 TO 6999Row N %,$7000 TO 7999Count,$7000 TO 7999Row N %,$8000 TO 9999Count,$8000 TO 9999Row N %,$10000 TO 14999Count,$10000 TO 14999Row N %,$15000 TO 19999Count,$15000 TO 19999Row N %,$20000 TO 24999Count,$20000 TO 24999Row N %,MT$25000Count,MT$25000Row N %,MALECount,MALERow N %,FEMALECount,FEMALERow N %,WHITECount,WHITERow N %,BLACKCount,BLACKRow N %,OTHERCount,OTHERRow N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %
GREECE,37.58,23.46,18,0.13,120,87.00%,21,0.153,60,0.438,7,0.051,27,0.197,22,0.161,2,0.025,0,0,2,0.025,1,0.013,2,0.025,2,0.025,1,0.013,2,0.025,8,0.101,5,0.063,9,0.114,45,0.57,73,0.529,65,0.471,137,0.993,1,0.007,0,0,35,0.263,14,0.105,7,0.053,5,0.038,43,0.323,0,0,0,0,0,0,0,0,29,0.218,0,0,0,0,0,0
HUNGARY,47.29,19.05,28,0.148,161,85.20%,41,0.218,94,0.5,3,0.016,28,0.149,22,0.117,2,0.021,4,0.042,1,0.01,3,0.031,2,0.021,1,0.01,3,0.031,6,0.063,13,0.135,11,0.115,10,0.104,40,0.417,83,0.439,106,0.561,188,0.995,1,0.005,0,0,56,0.313,92,0.514,23,0.128,5,0.028,2,0.011,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0
IRELAND,53.21,-6.15,905,0.226,3101,77.40%,725,0.181,2147,0.537,215,0.054,615,0.154,299,0.075,78,0.036,108,0.051,53,0.025,43,0.02,50,0.023,54,0.025,45,0.021,98,0.046,238,0.111,202,0.094,220,0.103,949,0.444,1633,0.408,2373,0.592,3986,0.995,11,0.003,9,0.002,2165,0.573,1457,0.385,3,0.001,131,0.035,8,0.002,0,0,0,0,0,0,2,0.001,0,0,14,0.004,0,0,0,0
ITALY,41.54,12.29,324,0.185,1424,81.50%,375,0.215,873,0.5,104,0.06,260,0.149,133,0.076,30,0.031,42,0.044,32,0.033,27,0.028,15,0.016,25,0.026,23,0.024,36,0.037,112,0.116,97,0.101,89,0.092,436,0.452,764,0.437,984,0.563,1744,0.998,1,0.001,3,0.002,213,0.129,1392,0.845,5,0.003,28,0.017,4,0.002,0,0,0,0,0,0,0,0,0,0,5,0.003,0,0,0,0
JAPAN,35.39,139.5,9,0.101,80,89.90%,8,0.09,32,0.36,9,0.101,29,0.326,11,0.124,1,0.018,3,0.053,2,0.035,1,0.018,1,0.018,1,0.018,1,0.018,2,0.035,6,0.105,4,0.07,5,0.088,30,0.526,37,0.416,52,0.584,12,0.135,2,0.022,75,0.843,14,0.167,7,0.083,0,0,9,0.107,31,0.369,23,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEXICO,19.2,-99.1,201,0.147,1170,85.30%,620,0.453,574,0.42,57,0.042,89,0.065,28,0.02,23,0.027,35,0.041,25,0.029,21,0.025,26,0.031,27,0.032,25,0.029,36,0.042,101,0.119,106,0.125,92,0.108,332,0.391,637,0.465,734,0.535,818,0.597,6,0.004,547,0.399,137,0.108,1097,0.867,0,0,23,0.018,4,0.003,0,0,0,0,0,0,1,0.001,0,0,3,0.002,0,0,0,0
NETHERLANDS,52.23,4.54,108,0.193,453,80.70%,164,0.292,279,0.497,21,0.037,68,0.121,29,0.052,14,0.044,18,0.057,13,0.041,11,0.035,11,0.035,5,0.016,7,0.022,14,0.044,42,0.132,31,0.097,22,0.069,130,0.409,251,0.447,310,0.553,560,0.998,0,0,1,0.002,452,0.853,48,0.091,1,0.002,24,0.045,3,0.006,0,0,0,0,0,0,0,0,0,0,1,0.002,0,0,1,0.002
NORWAY,59.55,10.45,101,0.171,490,82.90%,90,0.153,326,0.553,38,0.064,96,0.163,40,0.068,15,0.046,16,0.049,3,0.009,11,0.034,7,0.021,10,0.031,10,0.031,13,0.04,50,0.153,27,0.083,33,0.101,132,0.404,270,0.457,321,0.543,587,0.993,3,0.005,1,0.002,484,0.874,46,0.083,2,0.004,21,0.038,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,0,0,0,0
PHILIPPINES,14.4,121.03,15,0.088,155,91.20%,20,0.118,63,0.371,13,0.076,59,0.347,15,0.088,4,0.036,2,0.018,7,0.064,2,0.018,4,0.036,1,0.009,0,0,2,0.018,12,0.109,12,0.109,12,0.109,52,0.473,67,0.394,103,0.606,25,0.147,0,0,145,0.853,16,0.098,140,0.854,1,0.006,4,0.024,2,0.012,0,0,0,0,0,0,1,0.006,0,0,0,0,0,0,0,0
POLAND,52.13,21,127,0.129,855,87.10%,225,0.23,479,0.489,48,0.049,135,0.138,93,0.095,18,0.034,18,0.034,14,0.026,15,0.028,12,0.023,12,0.023,12,0.023,25,0.047,65,0.123,46,0.087,66,0.125,227,0.428,453,0.461,529,0.539,979,0.997,0,0,3,0.003,78,0.086,703,0.772,102,0.112,23,0.025,3,0.003,0,0,0,0,0,0,0,0,1,0.001,1,0.001,0,0,0,0
PUERTO RICO,18.28,-66.1,48,0.203,189,79.70%,89,0.376,106,0.447,12,0.051,21,0.089,9,0.038,8,0.059,4,0.029,3,0.022,3,0.022,2,0.015,1,0.007,4,0.029,12,0.088,13,0.096,20,0.147,16,0.118,50,0.368,103,0.435,134,0.565,137,0.578,21,0.089,79,0.333,42,0.186,174,0.77,0,0,8,0.035,1,0.004,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0
RUSSIA,55.45,37.35,80,0.161,418,83.90%,72,0.145,189,0.38,20,0.04,114,0.229,102,0.205,7,0.028,7,0.028,8,0.031,4,0.016,5,0.02,3,0.012,8,0.031,2,0.008,33,0.13,26,0.102,19,0.075,132,0.52,203,0.408,295,0.592,495,0.994,1,0.002,2,0.004,60,0.127,62,0.131,261,0.552,33,0.07,35,0.074,0,0,0,0,0,0,0,0,20,0.042,1,0.002,1,0.002,0,0
SCOTLAND,55.57,-3.11,264,0.234,866,76.60%,147,0.13,570,0.505,67,0.059,227,0.201,118,0.105,10,0.017,18,0.03,19,0.031,10,0.017,15,0.025,13,0.021,11,0.018,25,0.041,67,0.111,60,0.099,67,0.111,290,0.479,578,0.512,552,0.488,1121,0.992,6,0.005,3,0.003,928,0.862,91,0.084,2,0.002,48,0.045,1,0.001,0,0,0,0,0,0,0,0,0,0,7,0.006,0,0,0,0
SPAIN,40.25,-3.45,70,0.213,259,78.70%,80,0.244,148,0.451,17,0.052,53,0.162,30,0.091,3,0.015,8,0.04,8,0.04,4,0.02,6,0.03,4,0.02,5,0.025,7,0.035,27,0.134,20,0.1,21,0.104,88,0.438,140,0.426,189,0.574,255,0.775,4,0.012,70,0.213,47,0.149,248,0.787,2,0.006,12,0.038,2,0.006,0,0,0,0,0,0,1,0.003,0,0,1,0.003,0,0,2,0.006
SWEDEN,59.2,18.03,114,0.209,431,79.10%,77,0.141,281,0.516,39,0.072,96,0.176,52,0.095,8,0.026,13,0.042,4,0.013,14,0.046,12,0.039,11,0.036,9,0.029,11,0.036,35,0.114,38,0.124,14,0.046,138,0.45,244,0.448,301,0.552,542,0.994,1,0.002,2,0.004,445,0.852,47,0.09,1,0.002,24,0.046,1,0.002,0,0,0,0,0,0,0,0,0,0,4,0.008,0,0,0,0
SWITZERLAND,46.57,7.28,25,0.143,150,85.70%,30,0.171,90,0.514,10,0.057,28,0.16,17,0.097,1,0.013,6,0.079,4,0.053,5,0.066,2,0.026,0,0,1,0.013,4,0.053,7,0.092,8,0.105,5,0.066,33,0.434,67,0.383,108,0.617,175,1,0,0,0,0,123,0.75,25,0.152,0,0,12,0.073,3,0.018,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0
WEST INDIES,#N/A,#N/A,5,0.119,37,88.10%,15,0.357,19,0.452,3,0.071,4,0.095,1,0.024,0,0,0,0,1,0.053,1,0.053,0,0,0,0,2,0.105,2,0.105,2,0.105,4,0.211,4,0.211,3,0.158,16,0.381,26,0.619,2,0.048,39,0.929,1,0.024,23,0.639,12,0.333,0,0,1,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
